CHART,OI,CHNG IN OI,VOLUME,IV,LTP,NET CHNG,BIDQTY,BIDPRICE,ASKPRICE,ASKQTY,STRIKE PRICE,BIDQTY,BIDPRICE,ASKPRICE,ASKQTY,NET CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,CHART
,900,750,47,43.14,255.00,-245.00,"1,725",232.55,266.20,75,8750.00,75,61.90,64.00,600,39.40,64.00,54.97,"21,415","36,375","74,550",
,"88,350","33,000","14,970",42.23,219.55,-253.50,75,218.15,222.00,75,8800.00,75,76.75,77.00,"1,875",46.90,77.00,54.59,"294,872","41,325","864,525",
,"11,400","9,900","1,531",43.59,190.40,-250.55,75,167.95,190.50,375,8850.00,75,93.05,93.80,75,56.75,93.95,54.53,"24,627","43,950","82,425",
,"282,975","238,575","68,705",43.71,155.90,-229.10,75,155.00,156.80,"1,200",8900.00,150,112.65,113.00,"3,150",67.60,112.65,53.95,"286,985","47,775","853,500",
,"43,800","40,800","20,799",44.09,126.75,-214.55,225,126.00,130.95,375,8950.00,75,135.05,136.30,75,80.30,135.50,54.15,"40,905","22,800","83,925",
,"932,325","701,175","335,030",44.10,103.00,-204.90,"8,625",103.00,104.55,450,9000.00,"2,550",159.00,159.90,75,92.30,159.00,53.58,"347,619","-491,475","871,650",
,"108,450","102,450","50,426",44.28,81.60,-184.25,75,82.50,83.00,150,9050.00,75,188.60,190.55,75,108.70,188.70,55.33,"18,486","-21,750","29,475",
,"1,175,625","1,069,350","278,622",44.21,64.00,-172.75,75,63.60,64.30,75,9100.00,"2,925",220.00,221.55,75,124.75,220.50,54.54,"77,242","-285,375","204,600",
,"114,600","90,900","38,413",44.51,50.00,-154.50,75,49.20,50.45,75,9150.00,75,256.20,259.10,75,143.20,257.50,56.63,"3,913","-30,975","33,450",
,"1,007,775","605,625","313,850",44.59,38.70,-136.00,"2,250",38.70,39.00,"5,775",9200.00,"1,425",295.00,295.90,75,161.55,295.85,56.44,"51,723","-428,925","255,525",
,"138,900","66,675","39,385",45.11,29.95,-119.25,75,29.65,30.20,75,9250.00,75,336.05,337.35,75,179.95,338.05,61.53,"3,454","-59,475","23,775",
,"1,144,500","432,450","245,721",45.26,22.50,-102.30,975,22.00,23.00,"2,775",9300.00,75,379.50,380.00,"1,200",195.85,379.50,59.75,"21,974","-292,500","126,975",
,"175,125","68,250","36,169",45.95,17.00,-85.75,"3,375",17.00,17.65,75,9350.00,75,422.30,425.80,75,212.45,425.15,62.28,"1,031","-7,875","11,400",
,"785,550","172,725","177,316",46.08,13.25,-69.90,150,12.55,13.25,600,9400.00,75,469.20,470.90,75,226.05,468.25,68.78,"5,558","-79,950","54,150",
,"101,925","40,875","26,949",46.71,10.00,-56.85,75,9.75,9.95,75,9450.00,300,511.95,520.80,300,229.40,510.90,74.05,31,-675,"2,550",
,"1,366,500","177,975","164,547",47.47,7.20,-45.40,75,7.20,7.30,"1,275",9500.00,975,560.95,566.95,"1,575",249.20,560.00,71.21,"3,631","-37,500","128,625",
,"139,950","79,650","18,211",47.94,5.45,-35.35,75,5.25,5.45,525,9550.00,300,607.00,615.85,75,246.45,596.00,104.12,25,-900,600,
,"556,800","-51,900","77,031",49.21,4.10,-26.95,75,4.05,4.40,"1,050",9600.00,"3,300",614.60,660.35,75,267.40,659.30,92.46,230,"-4,950","17,850",
,"70,350",750,"13,697",50.61,3.60,-19.60,300,3.30,3.90,75,9650.00,300,698.35,718.40,300,-,430.00,-,-,-,150,
,"573,375","-370,950","60,654",51.54,2.60,-14.50,"2,775",2.60,2.75,"5,925",9700.00,"2,925",740.25,761.40,"1,125",285.35,760.00,114.16,87,-825,"6,450",
,"59,475","-2,550","5,738",52.81,2.55,-10.20,75,2.25,2.70,"2,400",9750.00,75,797.05,819.00,75,-,546.15,-,-,-,300,
,"566,250","-28,875","46,258",54.23,1.85,-7.55,600,1.85,1.90,75,9800.00,75,840.90,876.50,75,321.90,879.75,128.98,24,-150,"4,200",
,"49,875","-12,975","4,356",56.55,2.05,-5.30,75,1.50,2.20,525,9850.00,75,852.85,926.55,75,-,672.65,-,-,-,75,
,"207,975","-166,875","27,230",58.15,1.45,-4.20,"3,000",1.35,1.45,750,9900.00,"1,425",946.15,965.10,"1,425",-,655.60,-,-,-,150,
,"23,700","5,625",984,60.04,1.45,-3.20,150,1.45,1.70,75,9950.00,300,926.20,"1,054.60",300,527.40,933.00,-,2,-,75,
,"1,112,400","-303,975","53,668",62.07,1.30,-2.55,"1,875",1.30,1.35,"1,650",10000.00,750,"1,053.30","1,058.95",150,297.15,"1,054.45",115.33,46,525,"4,050",
,"15,300","-3,450",401,63.13,1.00,-2.00,225,1.00,1.20,75,10050.00,75,"1,009.70","1,144.40",75,-,-,-,-,-,-,
,"105,225","-93,450","7,833",64.57,0.90,-1.50,"6,375",0.90,1.20,75,10100.00,600,"1,139.45","1,173.00",375,"1,169.95","1,183.90",145.69,3,75,75,
,"8,775",-525,212,66.22,0.90,-1.15,"5,550",0.65,1.10,75,10150.00,"1,125","1,076.35","1,331.15","1,125",-,-,-,-,-,-,
,"79,350","-113,475","4,769",68.16,0.80,-0.80,600,0.80,0.90,"8,250",10200.00,75,"1,236.60","1,273.30","1,575",318.90,"1,248.05",138.30,5,75,675,
,"11,475",150,44,70.47,0.80,-0.50,75,0.85,0.90,300,10250.00,"1,125","1,174.45","1,484.55","1,125",-,-,-,-,-,-,
,"57,450","-15,150","1,064",69.82,0.60,-0.40,"8,700",0.40,0.60,75,10300.00,"1,125","1,263.25","1,445.45","1,125",-,"1,185.45",-,-,-,75,
,"3,075",-300,143,71.42,0.55,-0.40,75,0.55,0.90,75,10350.00,"11,025","1,211.40","1,576.40","9,900",-,-,-,-,-,-,
,"54,900","-13,800","1,034",74.20,0.60,-0.20,"3,600",0.60,0.70,"6,075",10400.00,"1,125","1,347.65","1,560.20",150,-,"1,140.25",-,-,-,150,
,"1,125",-375,43,81.25,1.00,-0.15,75,0.75,1.00,"7,500",10450.00,"1,125","1,293.05","1,697.75","1,125",-,-,-,-,-,-,
,"184,050","-76,950","4,828",76.45,0.45,-0.30,"7,275",0.45,0.50,750,10500.00,"2,850","1,534.10","1,558.40",450,299.25,"1,554.25",153.76,7,450,600,
,"10,500",-525,25,77.73,0.10,-0.85,75,0.45,0.90,900,10550.00,"9,900","1,398.45","1,697.15","1,125",-,-,-,-,-,-,
,"8,250","-3,975","1,708",81.37,0.55,-0.20,"1,350",0.25,0.70,"2,400",10600.00,"1,125","1,453.55","1,866.40","1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,800",0.05,1.65,"4,800",10650.00,"9,900","1,526.30","1,924.95","1,125",-,-,-,-,-,-,
,"3,300",-825,46,84.70,0.50,-0.20,600,0.45,0.50,"3,000",10700.00,"9,900","1,543.55","1,859.40","1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.65,"4,800",10750.00,"1,125","1,565.55","1,924.70","1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,800",0.05,0.95,75,10800.00,"9,900","1,634.50","1,963.80","1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.90,"4,800",10850.00,"1,125","1,681.65","2,014.15","1,125",-,-,-,-,-,-,
,"2,400",75,9,95.82,0.70,-,75,0.25,1.00,75,10900.00,"9,900","1,726.15","2,091.05","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"4,800",10950.00,"9,900","1,769.90","2,124.85","9,900",-,-,-,-,-,-,
,"102,300","-15,900","3,763",94.64,0.30,-0.25,"24,675",0.25,0.30,"7,125",11000.00,"1,125","1,815.45","2,190.45","1,125",-,-,-,-,-,-,
,750,150,833,94.09,0.30,-0.20,300,0.25,0.45,150,11050.00,"9,900","1,916.85","2,268.80","9,900",-,-,-,-,-,-,
,"6,525","4,275",239,94.45,0.20,-0.20,600,0.20,0.25,"1,425",11100.00,"9,900","1,961.55","2,320.35","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.00,"4,800",11150.00,"9,900","2,006.25","2,380.60","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.40,"4,800",11200.00,"9,900","2,051.40","2,446.90","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.00,"4,800",11250.00,"9,900","2,096.65","2,501.20","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.40,"4,800",11300.00,"9,900","2,142.05","2,546.95","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.50,"4,800",11350.00,"9,900","2,187.60","2,602.05","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.25,"4,800",11400.00,"9,900","2,232.30","2,624.50","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"4,800",11450.00,"9,900","2,277.05","2,682.45","9,900",-,-,-,-,-,-,
,"48,600","11,100","3,663",111.86,0.20,-0.20,"50,100",0.20,0.25,"4,725",11500.00,"9,900","2,322.55","2,763.85","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.25,"4,800",11550.00,"9,900","2,363.00","2,821.45","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.20,"3,000",11600.00,"9,900","2,408.70","2,845.00","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"4,800",11650.00,"9,900","2,455.55","2,898.55","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"4,800",11700.00,"9,900","2,501.95","2,954.45","9,900",-,-,-,-,-,-,
,75,-,1,112.59,0.15,-0.40,"4,425",0.15,0.30,75,11750.00,"9,900","2,521.30","3,039.45","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.15,"4,800",11800.00,"9,900","2,555.95","3,109.45","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"4,800",11850.00,"9,900","2,601.80","3,164.60","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.15,"4,800",11900.00,"9,900","2,656.00","3,204.85","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"4,800",11950.00,"9,900","2,693.45","3,259.95","9,900",-,-,-,-,-,-,
,"434,100","-56,175","8,970",127.49,0.30,-0.10,"120,600",0.25,0.30,"74,850",12000.00,"9,900","2,748.80","3,327.40","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,150,0.05,1.10,"6,000",12050.00,"9,900","2,795.00","3,375.55","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"6,000",12100.00,"9,900","2,840.50","3,430.70","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.80,"6,000",12150.00,"9,900","2,889.05","3,480.35","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"6,000",12200.00,"9,900","2,938.30","3,544.70","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.80,"6,000",12250.00,"9,900","2,979.30","3,590.60","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"6,000",12300.00,"9,900","3,024.40","3,645.75","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"6,000",12350.00,"9,900","3,069.25","3,700.85","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"6,000",12400.00,"9,900","3,117.35","3,756.00","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.70,"6,000",12450.00,"9,900","3,164.95","3,809.80","9,900",-,-,-,-,-,-,
,"32,550",-,"1,281",143.69,0.20,-0.15,"6,075",0.20,0.25,"18,900",12500.00,"9,900","3,212.30","3,878.60","9,900",-,-,-,-,-,-,
,75,-,1,151.67,0.50,-0.40,-,-,0.50,"4,425",12550.00,"9,900","3,253.40","3,936.55","9,900",-,-,-,-,-,-,
,"3,675","2,850","1,091",151.89,0.45,0.40,675,0.20,0.45,"3,600",12600.00,"9,900","3,305.30","3,979.30","9,900",-,-,-,-,-,-,
,-,-,"1,920",153.50,0.45,-150.55,150,0.45,1.50,600,12650.00,"9,900","3,351.25","4,031.55","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.60,"6,000",12700.00,"9,900","3,396.40","4,086.70","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.60,"6,000",12750.00,"9,900","3,442.20","4,157.40","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.60,"6,000",12800.00,"9,900","3,487.10","4,212.20","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.60,"6,000",12850.00,"9,900","3,531.75","4,267.65","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.60,"6,000",12900.00,"9,900","3,577.20","4,310.05","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.60,"6,000",12950.00,"9,900","3,627.85","4,361.00","9,900",-,-,-,-,-,-,
,"190,200","1,275","6,132",159.07,0.25,-0.05,"1,425",0.25,0.35,"18,000",13000.00,"9,900","3,676.00","4,429.90","9,900",-,-,-,-,-,-,
,-,-,60,162.58,0.35,-,"2,700",0.05,1.00,300,13050.00,"9,900","3,719.50","4,484.65","9,900",-,-,-,-,-,-,
,150,150,424,162.06,1.00,-60.10,"7,500",0.05,1.00,300,13100.00,"9,900","3,763.30","4,527.75","9,900",-,-,-,-,-,-,
,150,150,808,165.59,1.00,0.65,75,0.20,0.75,75,13150.00,"9,900","3,811.10","4,591.15","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"3,000",13200.00,"9,900","3,805.40","4,653.20","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"3,000",13250.00,"9,900","3,850.50","4,693.10","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.20,"3,000",13300.00,"9,900","3,889.85","4,763.45","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"3,000",13350.00,"9,900","3,940.25","4,815.40","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"3,000",13400.00,"9,900","3,986.65","4,873.70","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"3,000",13450.00,"9,900","4,033.40","4,925.65","9,900",-,-,-,-,-,-,
,-,-,76,168.37,0.20,-0.35,150,0.20,0.95,600,13500.00,"9,900","4,075.55","4,968.75","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.30,"3,000",13550.00,"9,900","4,123.65","5,026.65","9,900",-,-,-,-,-,-,
,-,-75,1,155.49,0.05,-0.85,900,0.05,1.30,"3,000",13600.00,"9,900","4,169.30","5,081.80","9,900",-,-,-,-,-,-,
Total,"12,317,925",,"2,176,209",,"2,096,584",,"9,968,100",Total
